# source: Dr. Duke's Phytochemical & Ethnobotanical Database (COMMON_NAMES.csv joined to FNFTAX.csv via FNFNUM)
# retrieved/processed: 2026-08-18
organism_id	scientific_name	duke_common_name	all_duke_common_names
Organism_45869	Euodia ruticarpa		
Organism_7261	Glycosmis pentaphylla Retz.(DC)		
Organism_17326	Helicia nilagirica		
Organism_43891	Helogyne hutchisonii		
Organism_46904	Justicia trinervia		
Organism_6929	Melicope semecarpifolia		
Organism_1326	Microglossa pyrifolia		
Organism_43863	Mikania vitifolia		
Organism_19592	Papaver pseudocanescens		
Organism_6119	Piper hostmannianum		
Organism_31981	Senecio erraticus Bertol.		
Organism_21113	Zephyranthes flava		
Organism_3061	Acritopappus confertus		
Organism_46783	Artemisia pectinata		
Plant_Fructus_syzygii	Fructus syzygii		
Organism_2567	Kadsura angustifolia		
Organism_9083	Micromelum falcatum		
Organism_1388	Salacia madagascariensis		
Organism_44542	Angelica tarokoensis		
Organism_24133	Bursera kerberi		
Organism_2175	Combretum quadrangulare		
Organism_45882	Euodia bodinieri		
Organism_4269	Illicium difengpi		
Organism_45672	Ligularia lamarum		
Organism_9167	Sophora exigua		
Organism_44479	Swertia delavayi		
Organism_45523	Taraxacum borealisinense		
Organism_45321	Typhonium flagelliforme		
Organism_26168	Uraria picta		
Organism_2008	Aglaia cordata		
Organism_3611	Anthemis aciphylla BOISS.var.discoidea BOISS		
Organism_2627	Brickellia pendula		
Organism_12099	Gnidia lamprantha		
Organism_8575	Maytenus emarginata		
Organism_26154	Psidium acutangulum		
Organism_26637	Timonius kaniensis		
Organism_24831	Vismia jefensis		
Organism_26622	Coleus carnosus		
Organism_45064	Epimedium brevicornu		
Organism_7445	Nicotiana gossei		
Organism_12069	Pachygone dasycarpa		
Organism_45513	Persea kusanoi		
Organism_47345	Pulicaria insignis		
Organism_7141	Casearia membranacea		
Organism_48340	Chamaemelum scariosum		
Plant_Crotalaria_lechnaultii	Crotalaria lechnaultii		
Organism_21778	Diphasia angolensis		
Organism_48300	Dunaliella acidophila		
Organism_48318	Escallonia philippiana		
Organism_5692	Euphorbia humifusa		
Organism_6164	Gypothamnium pinifolium		
Organism_21779	Halfordia scleroxyla		
Organism_48311	Hippocratea indica		
Organism_4481	Isodon pharicus		
Organism_48331	Lathyrus macrorrhizus		
Organism_47874	Morus yunnanensis		
Organism_16837	Neolitsea villosa		
Organism_47332	Ormosia macrophylla		
Organism_46787	Pellacalyx axillaris		
Organism_9654	Teucrium alyssifolium		
Organism_47354	Achyranthes obtusifolia		
Organism_44481	Bragantia wallichii		
Organism_46332	Buxus hildebrandtii		
Organism_47678	Cephalonoplos segetum		
Organism_44852	Chrozophora prostrata		
Organism_46793	Crotalaria stolzii		
Organism_8352	Euphorbia micractina		
Organism_48489	Ficus mucuso		
Organism_44476	Globba malaccensis		
Organism_46786	Helenium integrifolium		
Organism_47664	Lens phaseoloides		
Organism_47674	Lophozonia menziesii		
Organism_22067	Maba buxifolia		
Organism_1202	Maesa lanceolata		
Organism_44549	Micromeria pineolens		
Organism_47328	Moonia heterophylla		
Organism_47421	Ononis viscosa		
Organism_23582	Penianthus zenkeri		
Organism_44548	Quercus sessiliflora		
Organism_1108	Salvia triloba	Greek Sage	Greek Sage
Organism_46811	Selinum libanotis		
Organism_47306	Tecoma undulata		
Organism_2112	Upuna borneensis		
Organism_44509	Vallota purpurea		
Organism_47341	Vernonia brevifolia		
Organism_24549	Alpinia formosana		
Organism_43853	Bergenia hissarica		
Organism_47879	Chlorophytum malayense		
Organism_44432	Dysoxylum cumingianum		
Organism_2916	Epimedium pubescens		
Organism_2824	Erlangea cordifolia		
Organism_47930	Gaillardia tontalensis		
Organism_45031	Garcinia xipshuanbannaensis		
Organism_6448	Piper sarmentosum		
Organism_24660	Polygonatum kingianum		
Organism_8211	Salvia lavandulifolia		
Organism_44512	Saussurea carthamoides		
Organism_43814	Stevia potrerensis		
Organism_4110	Thalictrum fauriei		
Organism_16916	Trigonostemon reidioides Craib		
Organism_5574	Aglaia lawii		
Organism_43892	Isodon flexicaulis		
Organism_13272	Kandelia candel		
Organism_2320	Maytenus hookeri		
Organism_2118	Polyalthia longifolia var.pendula		
Organism_26052	Populus candicans		
Organism_15917	Psiadia arabica		
Organism_11488	Uvaria lucida		
Organism_9622	Artemisia giraldii		
Organism_13576	Ephedra lomatolepis		
Plant_Maytenus_Guianensis	Maytenus Guianensis		
Organism_47974	Othonna intermedia		
Organism_9726	Stephania cepharantha		
Organism_47938	Strychnos panamensis		
Organism_48080	Tetradium glabrifolium		
Organism_18557	Astilbe chinensis		
Organism_45675	Helleborus multifidus		
Organism_48126	Inula salsoloides		
Organism_14554	Mitragyna inermis		
Organism_47862	Pterocaulon rugosum		
Organism_10581	Spatholobus suberectus		
Organism_21851	Stephania succifera		
Organism_11870	Abuta concolor		
Organism_16406	Aconitum contortum		
Organism_25818	Daphne giraldii		
Organism_5335	Lactuca laciniata Roth		
Organism_43820	Salvia corrugata		
Organism_22810	Tinospora crispa		
Organism_47928	Trichoscypha acuminata		
Organism_14065	Vladimiria muliensis		
Organism_12439	Ageratina saltillensis		
Organism_48001	Bridelia moonii		
Organism_13076	Caryocar villosum		
Organism_2295	Cleistopholis patens		
Organism_17633	Drypetes tessmanniana		
Organism_47935	Eupatorium recurvans		
Organism_3530	Eurycoma harmandiana		
Organism_47967	Goupia tomentosa		
Organism_11318	Hypericum scabrum		
Organism_10683	Juglans mandshurica var. sieboldiana		
Organism_47259	Meryta denhamii		
Organism_47941	Michelia longifolia		
Organism_53032	Orthosiphon grandiflorus		
Organism_47956	Othonna cylindrica		
Organism_47951	Pityrodia ternifolia		
Organism_47978	Pteris plumbea		
Organism_47993	Senecio taiwanensis		
Organism_3257	Seseli montanum		
Organism_47971	Sorbus coronata		
Organism_23838	Trichilia catigua		
Organism_14558	Uncaria africana		
Organism_3773	Xylopia aromatica		
Organism_22853	Anisocycla grandidieri H.Bn.		
Organism_47866	Ardisia macrocarpa		
Organism_43869	Astragalus alexandri		
Plant_Astragalus_trimestris	Astragalus trimestris		
Organism_43899	Coespeletia lutescens		
Organism_7309	Dalbergia parviflora		
Organism_11847	Drummondita hassellii		
Organism_46304	Eremurus chinensis		
Organism_43888	Garuga gamblei		
Organism_6910	Heracleum candicans WALL.		
Organism_43850	Lespedeza striata		
Organism_49384	Mucuna membranacea		
Organism_43846	Pteris formosana		
Organism_5681	Rhodiola sachalinensis		
Organism_2425	Alangium lamarckii		
Organism_2298	Aphyllocladus denticulatus		
Plant_Chrysocephalum_ambiguum	Chrysocephalum ambiguum		
Organism_45700	Galium dasypodum		
Organism_47556	Ligularia muliensis		
Organism_11418	Stevia yaconensis		
Organism_14993	Thalictrum podocarpum		
Organism_45915	Tolpis webbii		
Organism_47877	Vernonia serratuloides		
Organism_24931	Ammodendron karelinii		
Organism_47604	Astragalus tragacantha		
Organism_1230	Centaurea scoparia		
Organism_7891	Flemingia philippinensis		
Organism_9414	Goniothalamus giganteus		
Organism_13460	Kobresia nepalensis		
