# per-organism common-name source; precedence gbif/ncbi > wikidata > duke
organism_id	scientific_name	common_name	source
Organism_12067	Phellodendron chinense	Chinese corktree	gbif
Organism_16223	Taraxacum mongolicum	Mongolian Dandelion	gbif
Organism_2826	Aconitum kusnezoffii	Kusnezoff Monkshood	gbif
Organism_22460	Anemone flaccida	Southern anemone	gbif
Organism_46046	Carpobrotus edulis	Hottentot-fig	gbif
Organism_6092	Dalbergia odorifera	fragrant rosewood	gbif
Organism_1176	Euphorbia resinifera	African spurge	gbif
Organism_14948	Magnolia salicifolia	Willow leafed Magnolia	gbif
Organism_2059	Rhododendron dauricum	Dahurian rhododendron	gbif
Organism_5768	Syzygium cumini	Black Plum	gbif
Organism_1143	Ammi majus	Bullwort	gbif
Organism_20637	Dioscorea japonica	East Asian mountain yam	gbif
Organism_44314	Gymnocarpium robertianum	Limestone Fern	gbif
Organism_44686	Syncarpia hillii	Fraser Island turpentine	gbif
Organism_7776	Vaccinium vitis-idaea	Cowberry	gbif
Organism_24140	Aegiceras corniculatum	black mangrove	gbif
Organism_43953	Alcea rosea	Hollyhock	gbif
Organism_2123	Cinnamomum camphora	Camphor Tree	gbif
Organism_44684	Crambe tatarica	Crambe tataria	wikidata
Organism_1335	Datura metel	Fireweed	gbif
Organism_19101	Nauclea latifolia	African peach	gbif
Organism_21688	Pluchea odorata	Shrubby Camphorweed	gbif
Organism_4100	Betula platyphylla	Asian white birch	gbif
Organism_44260	Fridericia chica	Cricket-vine	gbif
Organism_5655	Tussilago farfara	Coltsfoot	gbif
Organism_3745	Citrus hassaku	hassaku orange	gbif
Organism_13691	Fragaria	strawberry	wikidata
Organism_5663	Lupinus luteus	Annual Yellow-lupin	gbif
Organism_46639	Nuphar lutea	Yellow Water-lily	gbif
Organism_44696	Cnidium officinale	Jih-Chiung	duke
Organism_32015	Euphorbia segetalis L.	Corn Spurge	gbif
Organism_21514	Holarrhena pubescens	Bitter Oleander	gbif
Organism_10166	Pueraria montana var. lobata	Kudzu Vine	gbif
Organism_6364	Sophora angustifolia	Narrowleaf Sophora	duke
Organism_4459	Cucurbita pepo	American Pumpkin	gbif
Organism_7117	Pyrus communis	Domestic Pear	gbif
Organism_44294	Satureja cuneifolia	Cuneate Turkish Savory	duke
Plant_common_myrtle	common myrtle	myrtle	wikidata
Organism_46056	Asplenium normale	Rainforest Spleenwort	gbif
Organism_7898	Cassia fistula	Liquorice Plant	gbif
Organism_44056	Eragrostis viscosa	sticky love grass	gbif
Organism_1216	Ferula assa-foetida	asafetida	gbif
Organism_1089	Moringa oleifera	Drumstick Tree	gbif
Organism_4839	Saururus chinensis	Asian Lizard's Tail	gbif
Organism_44582	Actaea heracleifolia	Komarov’s bugbane	gbif
Organism_1806	Arnebia euchroma	Sinkiang-Tibet Arnebia	gbif
Organism_7104	Artemisia vulgaris	Eurasian Wormwood	gbif
Organism_2430	Lithospermum erythrorhizon	Purple Gromwell	gbif
Organism_28863	Matricaria matricarioides	Pineapple Weed	gbif
Organism_2102	Ocimum basilicum	Sweet Basil	gbif
Organism_44238	Teucrium depressum	dwarf germander	gbif
Organism_4169	Annona reticulata	Custard Apple	gbif
Organism_19829	Carum carvi	Caraway	gbif
Organism_4145	Cymbidium aloifolium	Aloe-leafed Cymbidium	wikidata
Organism_4241	Daphne odora	winter daphne	gbif
Plant_Fragaria_X_Ananassa	Fragaria X Ananassa	strawberry	ncbi
Organism_31675	Petasites hybridus (L.) P. Gaertn. & al.	Butterbur	gbif
Organism_3638	Pinus halepensis	Aleppo Pine	gbif
Organism_16519	Amomum villosum	Malabar cardamom	gbif
Organism_3609	Asarum sieboldii	Seonun wild Ginger	gbif
